tale_id,series,best_H,min_ks_stat,hurst_exponent,rs_hurst,ks_stat
13,num_clauses_vs_I,,,,,0.46153846153846156
13,dep_distance_vs_Eventfulness,,,,,0.6153846153846154
13,dep_distance_vs_I,,,,,0.46153846153846156
13,Eventfulness_vs_I,,,,,0.6153846153846154
14,num_words,0.2,0.11538461538461539,0.9,,
14,num_clauses,0.4,0.15384615384615385,0.9,,
14,dep_distance,0.1,0.21153846153846154,0.9,,
14,Eventfulness,0.6,0.3269230769230769,0.9,,
14,I,0.30000000000000004,0.3076923076923077,0.9,,
14,num_words_vs_num_clauses,,,,,0.15384615384615385
14,num_words_vs_dep_distance,,,,,0.25
14,num_words_vs_Eventfulness,,,,,0.3076923076923077
14,num_words_vs_I,,,,,0.3269230769230769
14,num_clauses_vs_dep_distance,,,,,0.23076923076923078
14,num_clauses_vs_Eventfulness,,,,,0.36538461538461536
14,num_clauses_vs_I,,,,,0.36538461538461536
14,dep_distance_vs_Eventfulness,,,,,0.3269230769230769
14,dep_distance_vs_I,,,,,0.40384615384615385
14,Eventfulness_vs_I,,,,,0.40384615384615385
15,num_words,0.2,0.16312056737588654,0.9,,
15,num_clauses,0.30000000000000004,0.17482517482517482,0.9,,
15,dep_distance,0.8,0.2937062937062937,0.9,,
15,Eventfulness,0.1,0.4965034965034965,0.9,,
15,I,0.8,0.42657342657342656,0.9,,
15,num_words_vs_num_clauses,,,,,0.1276595744680851
15,num_words_vs_dep_distance,,,,,0.375886524822695
15,num_words_vs_Eventfulness,,,,,0.624113475177305
15,num_words_vs_I,,,,,0.5815602836879432
15,num_clauses_vs_dep_distance,,,,,0.35664335664335667
15,num_clauses_vs_Eventfulness,,,,,0.6363636363636364
15,num_clauses_vs_I,,,,,0.4965034965034965
15,dep_distance_vs_Eventfulness,,,,,0.7412587412587412
15,dep_distance_vs_I,,,,,0.7272727272727273
15,Eventfulness_vs_I,,,,,0.7202797202797203
16,num_words,0.1,0.12,0.9,,
16,num_clauses,0.1,0.16,0.9,,
16,dep_distance,0.7000000000000001,0.2,0.9,,
16,Eventfulness,0.5,0.2,0.9,,
16,I,0.30000000000000004,0.24,0.9,,
16,num_words_vs_num_clauses,,,,,0.16
16,num_words_vs_dep_distance,,,,,0.2
16,num_words_vs_Eventfulness,,,,,0.24
16,num_words_vs_I,,,,,0.24
16,num_clauses_vs_dep_distance,,,,,0.2
16,num_clauses_vs_Eventfulness,,,,,0.2
16,num_clauses_vs_I,,,,,0.2
16,dep_distance_vs_Eventfulness,,,,,0.28
16,dep_distance_vs_I,,,,,0.12
16,Eventfulness_vs_I,,,,,0.36
17,num_words,0.2,0.043478260869565216,0.9,,
17,num_clauses,0.5,0.10434782608695652,0.9,,
17,dep_distance,0.2,0.1391304347826087,0.9,,
17,Eventfulness,0.4,0.391304347826087,0.9,,
17,I,0.2,0.26956521739130435,0.9,,
